Task,Mode,Participant,Run time,Created at,Robot count
pyramid_building,8.4,1298a14055b8b0e86233f8ee1631da03,243.906,2013-08-07 19:21:22 UTC,8,""
varying_control,global,cbc58f088def11646a48e6da6987ad73,62.397,2013-08-07 19:28:07 UTC,16,""
maze_positioning,default,4109377799754af37569957036e9c12d,230.543,2013-08-07 19:30:02 UTC,386,""
varying_visualization,mean,4109377799754af37569957036e9c12d,160.566,2013-08-07 19:34:20 UTC,100,""
robot_positioning,default,c0f82094380da9d07b9c8354142281bb,21.185,2013-08-07 19:46:15 UTC,3,""
pyramid_building,1.7,b3cfc3bf4a93438af231954468fae63f,133.62,2013-08-07 19:47:58 UTC,8,""
pyramid_building,9.0,b3cfc3bf4a93438af231954468fae63f,224.598,2013-08-07 19:52:28 UTC,8,""
robot_positioning,default,1298a14055b8b0e86233f8ee1631da03,6.358,2013-08-07 21:23:15 UTC,3,""
robot_positioning,default,1298a14055b8b0e86233f8ee1631da03,59.643,2013-08-07 21:24:22 UTC,7,""
robot_positioning,default,1298a14055b8b0e86233f8ee1631da03,8.713,2013-08-07 21:24:42 UTC,4,""
maze_positioning,default,744fa2a7c3e3bc09129001153e140760,273.102,2013-08-08 00:31:27 UTC,456,""
robot_positioning,default,1ef59364bec9c49cbb23f3ca0d69bb8d,12.055,2013-08-12 17:09:32 UTC,4,""
robot_positioning,default,1ef59364bec9c49cbb23f3ca0d69bb8d,10.185,2013-08-12 17:09:48 UTC,3,""
varying_visualization,mean & variance,726cdc07a4b9a4a26b86523bd35abbf7,79.509,2013-08-13 12:07:32 UTC,100,""
varying_visualization,convex-hull,726cdc07a4b9a4a26b86523bd35abbf7,84.851,2013-08-13 12:09:31 UTC,100,""
varying_visualization,full-state,726cdc07a4b9a4a26b86523bd35abbf7,114.566,2013-08-13 12:11:32 UTC,100,""
varying_control,global,726cdc07a4b9a4a26b86523bd35abbf7,104.804,2013-08-13 12:16:45 UTC,16,""
varying_control,attractive,726cdc07a4b9a4a26b86523bd35abbf7,64.364,2013-08-13 12:19:53 UTC,16,""
varying_control,repulsive,726cdc07a4b9a4a26b86523bd35abbf7,107.968,2013-08-13 12:22:03 UTC,16,""
maze_positioning,default,e858d8b5510c85f12d7f709ad378526f,285.134,2013-08-13 13:30:20 UTC,469,""
